place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
1,1,2,2.0,2021,32.0,1.0,2.0,1.0,4,2.0,1.0,1.0,30.0,17,12,5,75,75108,2,2,0.0,3.0,48.864667,2.313663,17,3,2
1,1,2,8.0,2021,30.0,1.0,2.0,6.0,3,2.0,1.0,1.0,50.0,10,8,1,65,65100,2,6,0.0,3.0,43.25828,0.03957,17,2,2
1,1,1,2.0,2021,36.0,1.0,2.0,1.0,3,3.0,1.0,1.0,90.0,16,11,1,91,91223,1,1,0.0,3.0,48.4392,2.17254,14,2,2
1,1,1,1.0,2021,49.0,4.0,0.0,1.0,1,3.0,1.0,1.0,130.0,4,8,1,89,89438,1,1,0.0,2.0,47.791485,3.66827,15,2,2
1,1,1,1.0,2021,36.0,2.0,2.0,1.0,3,2.0,1.0,1.0,70.0,1,7,2,95,95052,1,1,0.0,1.0,49.145952,2.307065,5,4,2
1,1,1,8.0,2021,30.0,1.0,2.0,5.0,4,2.0,1.0,5.0,30.0,9,5,1,38,38185,2,2,0.0,3.0,45.1882323797,5.7162165642,18,2,2
1,1,1,2.0,2021,48.0,1.0,2.0,1.0,2,2.0,1.0,1.0,80.0,14,2,1,201,201163,1,1,0.0,1.0,41.498059,8.95011,17,2,2
4,2,1,1.0,2021,20.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,19,12,5,63,63113,2,1,0.0,6.0,45.78155,3.12236,3,5,1
10,3,2,8.0,2021,29.0,2.0,1.0,1.0,4,1.0,1.0,1.0,30.0,22,12,5,75,75118,2,3,0.0,6.0,48.885704,2.347418,18,2,1
4,2,2,1.0,2021,22.0,2.0,0.0,1.0,3,1.0,1.0,1.0,50.0,10,10,5,84,84007,2,9,0.0,3.0,43.93402,4.83137,3,4,1
1,1,2,2.0,2021,17.0,1.0,2.0,1.0,7,1.0,1.0,1.0,50.0,9,10,1,45,45302,2,1,0.0,2.0,47.94993,1.89192,9,2,2
2,2,2,2.0,2021,32.0,1.0,0.0,1.0,2,2.0,2.0,8.0,80.0,4,7,1,4,4174,1,3,1.0,7.0,43.970787,6.759845,14,2,1
1,1,1,1.0,2021,77.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,1,3,2,1,1301,1,1,1.0,1.0,46.245275,5.107452,17,2,2
3,2,2,1.0,2021,51.0,2.0,2.0,1.0,1,1.0,1.0,1.0,90.0,29,10,1,13,13071,1,1,0.0,2.0,43.41254,5.281375,18,6,3
10,3,1,0.0,2021,72.0,2.0,1.0,1.0,4,2.0,2.0,1.0,50.0,3,11,2,71,71306,2,1,1.0,6.0,46.678222,4.36624,18,2,1
1,1,2,2.0,2021,15.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,28,6,1,64,64140,2,1,0.0,3.0,43.5225,-1.49001,17,2,2
1,1,2,0.0,2021,8.0,1.0,2.0,5.0,4,2.0,1.0,1.0,50.0,7,5,1,73,73065,2,1,0.0,3.0,45.5617949633,5.9119099975,19,2,2
1,1,1,1.0,2021,30.0,2.0,2.0,1.0,3,2.0,2.0,1.0,80.0,3,10,2,58,58244,1,1,1.0,7.0,47.042562,3.862832,18,2,2
1,1,2,1.0,2021,24.0,2.0,2.0,1.0,1,3.0,5.0,1.0,130.0,10,12,2,71,71481,1,1,1.0,5.0,46.186308,4.772605,8,3,3
1,1,2,1.0,2021,29.0,2.0,2.0,1.0,4,1.0,1.0,8.0,30.0,25,11,1,92,92012,2,1,0.0,2.0,48.8284483712,2.2354361415,10,2,2
1,1,1,2.0,2021,71.0,1.0,2.0,5.0,3,2.0,1.0,1.0,50.0,11,9,1,44,44097,2,3,0.0,3.0,47.407691,-2.480813,11,2,2
1,1,1,2.0,2021,17.0,1.0,2.0,1.0,4,2.0,1.0,1.0,30.0,2,4,1,22,22113,2,3,0.0,3.0,48.73113,-3.44666,8,2,2
10,3,1,8.0,2021,67.0,2.0,1.0,1.0,4,1.0,1.0,1.0,30.0,1,9,1,83,83069,2,1,0.0,6.0,43.1206473745,6.1311943351,15,2,1
1,1,1,2.0,2021,45.0,1.0,2.0,1.0,1,3.0,1.0,1.0,90.0,16,7,1,93,93063,1,1,0.0,3.0,48.8758,2.44158,18,2,2
2,2,1,1.0,2021,66.0,2.0,2.0,1.0,3,2.0,2.0,1.0,50.0,3,11,1,51,51504,2,1,1.0,1.0,48.9902,4.33835,9,3,2
1,1,1,1.0,2021,20.0,2.0,0.0,1.0,4,1.0,2.0,1.0,50.0,19,5,5,69,69387,2,1,1.0,2.0,45.7432,4.84812,21,3,2
1,1,1,2.0,2021,30.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,17,2,1,91,91434,2,1,0.0,2.0,48.661063,2.344496,15,2,2
1,1,1,2.0,2021,57.0,1.0,2.0,1.0,7,2.0,1.0,1.0,50.0,13,10,1,83,83120,2,3,0.0,3.0,43.382852,5.706609,11,2,2
